date,obs,AFG
15/07/2008,10,0
15/07/2009,0,0
15/07/2010,0,0
15/07/2011,0,0
15/07/2012,4,6
15/07/2013,2,4
15/07/2014,1,2
15/07/2015,12,20
15/07/2016,11,18
15/07/2017,14,50
15/07/2018,37,59
