date,obs
15/01/2017,0
15/02/2017,0
15/03/2017,0
15/04/2017,0
15/05/2017,6
15/06/2017,20
15/07/2017,13
15/08/2017,10
15/09/2017,14
15/10/2017,1
15/11/2017,0
15/12/2017,0
15/01/2018,1.2575367
15/02/2018,1.9531953
15/03/2018,1.05419034
15/04/2018,1.20937572
15/05/2018,3.30705396
15/06/2018,10.75416846
15/07/2018,14.70158508
15/08/2018,10.09240092
15/09/2018,26.34762354
15/10/2018,10.62395544
15/11/2018,2.8629027
15/12/2018,2.28675468
