"X"	"A"	"D_inf_L"	"D_lact_liv"	"D_imm_liv"	"F_risk"	"O_factor"	"RRreport"	"clin_frac"	"log.density"
"101"	101	0.437258084838095	0.250937404470577	2.57703227172327	45.3314516927761	0.525040566984712	0.883988936607517	0.609234992478177	0.190855566866556	-18.6387151444352
"104"	104	0.476092805117984	0.227416288551385	2.64537578363384	59.4608871484655	0.580398697838286	0.924096223782345	0.723369405762449	0.179537878493678	-18.3660769116579
"107"	107	0.476092805117984	0.227416288551385	2.64537578363384	59.4608871484655	0.580398697838286	0.924096223782345	0.723369405762449	0.179537878493678	-18.3660769116579
"110"	110	0.620621510593977	0.256065085526904	2.61938407261217	50.3593881801432	0.55226171488828	0.590274349985503	0.569867117238978	0.166238635337772	-20.477411725374
"113"	113	0.620621510593977	0.256065085526904	2.61938407261217	50.3593881801432	0.55226171488828	0.590274349985503	0.569867117238978	0.166238635337772	-20.477411725374
"116"	116	0.600819526931505	0.251940100600002	2.44503182694739	54.5595847602508	0.342522382737479	0.563791063362136	0.717848357498355	0.159160310908382	-20.2007963945908
"119"	119	0.600819526931505	0.251940100600002	2.44503182694739	54.5595847602508	0.342522382737479	0.563791063362136	0.717848357498355	0.159160310908382	-20.2007963945908
"122"	122	0.634923944502614	0.219060676677444	2.42978425646693	57.0345821363611	0.481919636617184	0.363914655775101	0.648845160645394	0.160164919640339	-22.2284691543398
"125"	125	0.634923944502614	0.219060676677444	2.42978425646693	57.0345821363611	0.481919636617184	0.363914655775101	0.648845160645394	0.160164919640339	-22.2284691543398
"128"	128	0.570939714667531	0.172436736980971	2.84109567519176	57.0011082921626	0.246996473523566	0.219314723422599	0.633398141122646	0.188392086608703	-22.0813970127672
"131"	131	0.570939714667531	0.172436736980971	2.84109567519176	57.0011082921626	0.246996473523566	0.219314723422599	0.633398141122646	0.188392086608703	-22.0813970127672
"134"	134	0.570939714667531	0.172436736980971	2.84109567519176	57.0011082921626	0.246996473523566	0.219314723422599	0.633398141122646	0.188392086608703	-22.0813970127672
"137"	137	0.445475914835876	0.225629889590519	2.99690760427124	58.605669321954	0.0888469697490878	0.328196377969157	0.953859972102945	0.240537582484995	-19.4149818126065
"140"	140	0.445475914835876	0.225629889590519	2.99690760427124	58.605669321954	0.0888469697490878	0.328196377969157	0.953859972102945	0.240537582484995	-19.4149818126065
"143"	143	0.445475914835876	0.225629889590519	2.99690760427124	58.605669321954	0.0888469697490878	0.328196377969157	0.953859972102945	0.240537582484995	-19.4149818126065
"146"	146	0.449738011889552	0.208874297297925	3.26691119050247	58.3514667111691	0.157523982404381	0.359697683136223	0.918808538560717	0.242879006307072	-19.3216032336925
"149"	149	0.447471871001966	0.210647628128406	3.24258579765641	57.5057485695188	0.265843106916406	0.272257247236407	0.900448907436103	0.280310565088816	-18.6413581164292
"152"	152	0.491144780776482	0.209129178282745	3.23407928997576	54.8333876578534	0.503264389973656	0.141979796240863	0.662839758842673	0.329177022422142	-18.6272968793149
"155"	155	0.491144780776482	0.209129178282745	3.23407928997576	54.8333876578534	0.503264389973656	0.141979796240863	0.662839758842673	0.329177022422142	-18.6272968793149
"158"	158	0.554455940984753	0.249468899881471	3.28689636589201	54.3881809792604	0.685736080647367	0.20812292559214	0.624772059618111	0.358309008578569	-19.7344351641579
"161"	161	0.554455940984753	0.249468899881471	3.28689636589201	54.3881809792604	0.685736080647367	0.20812292559214	0.624772059618111	0.358309008578569	-19.7344351641579
"164"	164	0.625600461481338	0.291956051144428	3.27736428142604	49.3586224790561	0.195646932223323	0.00363731377885518	0.681051646245724	0.342851885987116	-20.6862728601639
"167"	167	0.625600461481338	0.291956051144428	3.27736428142604	49.3586224790561	0.195646932223323	0.00363731377885518	0.681051646245724	0.342851885987116	-20.6862728601639
"170"	170	0.517331518264292	0.239875786435156	2.98026317980873	58.2193601652937	0.0936758897136287	0.145541589517453	0.750182807665979	0.380019136483141	-19.7303864934681
"173"	173	0.517331518264292	0.239875786435156	2.98026317980873	58.2193601652937	0.0936758897136287	0.145541589517453	0.750182807665979	0.380019136483141	-19.7303864934681
"176"	176	0.455411379528501	0.286447060629199	3.19910926295311	58.2716913586298	0.291350576691751	0.468778042465263	0.630090356471163	0.349018823715166	-18.0942469924115
"179"	179	0.455411379528501	0.286447060629199	3.19910926295311	58.2716913586298	0.291350576691751	0.468778042465263	0.630090356471163	0.349018823715166	-18.0942469924115
"182"	182	0.455411379528501	0.286447060629199	3.19910926295311	58.2716913586298	0.291350576691751	0.468778042465263	0.630090356471163	0.349018823715166	-18.0942469924115
"185"	185	0.422535381186427	0.241574367268706	3.35208966370787	59.2330275736054	0.0829181874680272	0.562544470488795	0.633281154398032	0.356785841833855	-19.6068113588362
"188"	188	0.61048846496037	0.258126766596902	3.58346676858934	59.2343632679709	0.195443435531706	0.719990204109892	0.737036064008979	0.378070624408906	-21.4411524675611
"191"	191	0.433397975426666	0.16820702043232	3.64328255677259	59.6590744340228	0.229138236160462	0.774492016571787	0.77390405648874	0.37069385008892	-19.4088784136099
"194"	194	0.433397975426666	0.16820702043232	3.64328255677259	59.6590744340228	0.229138236160462	0.774492016571787	0.77390405648874	0.37069385008892	-19.4088784136099
"197"	197	0.433397975426666	0.16820702043232	3.64328255677259	59.6590744340228	0.229138236160462	0.774492016571787	0.77390405648874	0.37069385008892	-19.4088784136099
"200"	200	0.433397975426666	0.16820702043232	3.64328255677259	59.6590744340228	0.229138236160462	0.774492016571787	0.77390405648874	0.37069385008892	-19.4088784136099
