"X"	"A"	"D_lact_liv"	"D_imm_liv"	"F_risk"	"O_factor"	"clin_frac"	"log.density"
"10002"	10002	0.360076029585525	11.3995492468094	38.0169821013018	0.380808866987048	0.0888278824752526	0.358137344963208	-30.9470386210932
"10005"	10005	0.360076029585525	11.3995492468094	38.0169821013018	0.380808866987048	0.0888278824752526	0.358137344963208	-30.9470386210932
"10008"	10008	0.360076029585525	11.3995492468094	38.0169821013018	0.380808866987048	0.0888278824752526	0.358137344963208	-30.9470386210932
"10011"	10011	0.338016105849307	10.8122142450987	36.56829222982	0.470031967544668	0.386990868725431	0.0928144141338638	-31.681446630891
"10014"	10014	0.316595615861985	5.63674700937717	45.2899243409968	0.28153695937335	0.139641809521538	0.362221649778447	-31.7014976996819
"10017"	10017	0.368399437828237	10.5695440295696	36.4391722335694	0.337454022368419	0.272632224428422	0.363653254149148	-31.773722613768
"10020"	10020	0.282451851055174	7.0457017248166	41.4294551417336	0.380942997324356	0.112274420376322	0.294070615643201	-31.8025829608894
"10023"	10023	0.266250070985597	6.46143500784579	61.0001025070775	0.270668468770314	0.141664794662263	0.430446533423181	-34.0851574535039
"10026"	10026	0.333113024111552	8.85410888510062	48.3289647228634	0.122329330468543	0.426281117383374	0.430496068181079	-32.5155551031639
"10029"	10029	0.346682772881457	11.8325900752565	38.4302442975437	0.241495578198085	0.200478857503246	0.37237520767764	-31.1780406103523
"10032"	10032	0.346682772881457	11.8325900752565	38.4302442975437	0.241495578198085	0.200478857503246	0.37237520767764	-31.1780406103523
"10035"	10035	0.346682772881457	11.8325900752565	38.4302442975437	0.241495578198085	0.200478857503246	0.37237520767764	-31.1780406103523
"10038"	10038	0.297639305012992	7.15886439972821	44.2538909556974	0.200128534623517	0.302330481489103	0.438247437340343	-32.0970987617517
"10041"	10041	0.304005746628075	4.88180881245037	38.2732881741305	0.250395390574258	0.267817111298982	0.206985777302907	-31.1007081403393
"10044"	10044	0.304005746628075	4.88180881245037	38.2732881741305	0.250395390574258	0.267817111298982	0.206985777302907	-31.1007081403393
"10047"	10047	0.325975092061685	9.02405466440957	40.0699992047397	0.247114783704406	0.571429807449242	0.340882553368041	-32.1005348751073
"10050"	10050	0.334483091946595	10.2055244161051	47.036999535766	0.141050591561132	0.845902733959029	0.506740070240292	-33.9096629633679
"10053"	10053	0.338690640041389	10.2027914440151	63.8266293278009	0.181167057255634	0.212036511915078	0.374362012594448	-32.5995624947603
"10056"	10056	0.380744041735126	10.4809791572685	58.9862145656998	0.138779869087979	0.0511901233060478	0.411510481690713	-33.7177237407915
"10059"	10059	0.380744041735126	10.4809791572685	58.9862145656998	0.138779869087979	0.0511901233060478	0.411510481690713	-33.7177237407915
"10062"	10062	0.380744041735126	10.4809791572685	58.9862145656998	0.138779869087979	0.0511901233060478	0.411510481690713	-33.7177237407915
"10065"	10065	0.333378387460786	7.55812171543257	61.0466547632196	0.0858623350895328	0.189856935009835	0.454971583027448	-34.1902859379411
"10068"	10068	0.333378387460786	7.55812171543257	61.0466547632196	0.0858623350895328	0.189856935009835	0.454971583027448	-34.1902859379411
"10071"	10071	0.285782150069876	2.95393234055322	52.398070871796	0.249766060966033	0.0658943796011704	0.404779262545799	-32.5933267267652
"10074"	10074	0.330451008080768	7.65903604823257	62.5717124878509	0.0849154171024174	0.41928537425224	0.366190668774307	-34.01956627242
"10077"	10077	0.33438588602501	5.52114844321576	87.9246623132235	0.252899937479718	0.245166019083839	0.145208400698069	-34.3896440623107
"10080"	10080	0.33438588602501	5.52114844321576	87.9246623132235	0.252899937479718	0.245166019083839	0.145208400698069	-34.3896440623107
"10083"	10083	0.34124415502982	5.82411660128674	43.3303828526759	0.370779260379574	0.598174690625328	0.143347615378827	-32.8686485537146
"10086"	10086	0.371274959136055	10.6681677004916	41.2519466098236	0.41070036268955	0.667020969726598	0.156566007775346	-32.0112269265804
"10089"	10089	0.371274959136055	10.6681677004916	41.2519466098236	0.41070036268955	0.667020969726598	0.156566007775346	-32.0112269265804
"10092"	10092	0.290040396346404	6.87907675278507	39.8301228937506	0.417571831053909	0.642396566133885	0.108092733902674	-32.136108572324
"10095"	10095	0.314094264340537	9.48752818497055	45.8665856199131	0.432710006645505	0.718236242594572	0.111821895146763	-32.6510702487645
"10098"	10098	0.314094264340537	9.48752818497055	45.8665856199131	0.432710006645505	0.718236242594572	0.111821895146763	-32.6510702487645
"10101"	10101	0.314094264340537	9.48752818497055	45.8665856199131	0.432710006645505	0.718236242594572	0.111821895146763	-32.6510702487645
"10104"	10104	0.323210470670726	9.05992571157253	52.4603072765369	0.178570492587051	0.37343010018058	0.246008807899306	-32.0226371693378
"10107"	10107	0.349058211528172	11.3862689936744	38.5732735601222	0.141877567549633	0.582443769806105	0.38508944173503	-32.0569537327446
"10110"	10110	0.353239712709954	11.2962000815992	39.8908276716804	0.12896358783874	0.642774617912642	0.362927237168575	-32.100563853932
