month,soil,air2m,rh
01/04/2009,27.6121356,23.64375202,0.319657752
01/05/2009,19.92828913,17.9647043,0.384199182
01/06/2009,14.99935416,14.24550298,0.459579852
01/07/2009,14.29787844,13.80998156,0.343298724
01/08/2009,19.59064364,17.90826342,0.262822562
01/09/2009,26.87138276,21.24880539,0.178250582
01/10/2009,28.38803114,23.633222,0.268979957
01/11/2009,31.60944467,25.48566225,0.238714016
01/12/2009,37.78766792,29.26256805,0.174672462
01/01/2010,33.1322947,27.42781823,0.380284582
01/02/2010,34.31681017,28.25421381,0.304566904
01/03/2010,31.85199815,26.93164392,0.356449225
01/04/2010,25.0219124,22.15649269,0.402028189
01/05/2010,21.31332467,19.35677229,0.360988905
01/06/2010,15.63192263,14.56730024,0.334049721
01/07/2010,17.26157889,16.31738874,0.299491522
01/08/2010,21.19480422,18.88334281,0.220124515
01/09/2010,27.62178261,22.89654215,0.197069728
01/10/2010,30.87627162,24.15087754,0.176683452
01/11/2010,33.58156991,26.69661398,0.226703016
01/12/2010,34.00052594,27.44466625,0.269358606
01/01/2011,30.82941469,26.74252485,0.455892548
01/02/2011,31.46198317,27.20921511,0.449506436
01/03/2011,30.06178803,26.27878298,0.420139363
01/04/2011,23.00844281,19.99994561,0.448954432
01/05/2011,17.96718904,16.70236609,0.484895701
01/06/2011,13.26633704,12.81594814,0.452579995
01/07/2011,13.69080565,13.24809995,0.349970157
01/08/2011,17.39250265,16.43616731,0.296638405
01/09/2011,27.06639025,21.8111082,0.184714493
01/10/2011,30.95620402,23.97734289,0.166746559
01/11/2011,34.05289544,25.3083368,0.167730395
01/12/2011,34.18588642,26.97797598,0.249369993
01/01/2012,38.91154502,30.05905839,0.224016308
01/02/2012,32.54451593,27.05463449,0.358472616
01/03/2012,32.21513932,26.23371452,0.301534554
01/04/2012,24.00346337,20.85624643,0.360360697
01/05/2012,20.99152786,18.96716173,0.308970446
01/06/2012,15.11925276,13.99910063,0.410488803
01/07/2012,13.56539447,13.10994616,0.368777029
01/08/2012,18.15875117,16.46143935,0.266466565
01/09/2012,24.86687111,19.77544569,0.227286323
01/10/2012,29.44989172,23.18548576,0.220547197
01/11/2012,35.99194521,28.08952437,0.167538462
01/12/2012,31.86853589,26.60984666,0.344236442
01/01/2013,37.69602129,29.73515513,0.235532771
01/02/2013,36.97042804,29.28489168,0.224846616
01/03/2013,33.42101604,27.08327613,0.274591223
01/04/2013,23.72163276,21.23659058,0.339799117
01/05/2013,21.4725004,19.55894858,0.288137598
01/06/2013,16.42986849,14.98555244,0.320493986
01/07/2013,16.64003557,15.46993313,0.34567927
01/08/2013,18.79614315,15.98337667,0.254286372
01/09/2013,25.40641481,19.95782555,0.157320952
01/10/2013,30.7067598,23.76632139,0.177100068
01/11/2013,34.57245604,26.72862523,0.174064028
01/12/2013,34.09906329,26.8524582,0.293835119
01/01/2014,37.246057,29.82908286,0.240743192
01/02/2014,33.64565364,27.62409771,0.375550296
01/03/2014,30.26506439,24.97095511,0.355833953
01/04/2014,25.76266524,21.86881268,0.313893081
01/05/2014,20.77171376,19.21019448,0.355891207
01/06/2014,15.68635935,14.51801977,0.335159952
01/07/2014,15.77731691,14.52728618,0.301631084
01/08/2014,19.32259447,17.21454603,0.298960798
01/09/2014,27.54116114,23.05449237,0.167259866
01/10/2014,32.11177845,25.30538839,0.185340655
01/11/2014,29.97909934,24.19847321,0.282802738
01/12/2014,36.53493427,28.77144815,0.238219825
01/01/2015,38.69517629,30.01441112,0.236461351
