"X"	"A"	"D_inf_L"	"D_lact_liv"	"D_imm_liv"	"F_risk"	"O_factor"	"RRreport"	"clin_frac"	"log.density"
"501"	501	4.38637041165393	0.266570267026788	17.9921427537222	26.0372824024707	0.0287056487689345	0.404520011386008	0.731273587244429	0.293118749354624	-89.1808742209724
"512"	512	4.38613881774803	0.27214124778358	17.5522637263284	26.6962343972186	0.0299214549859233	0.400569733289936	0.728063839320815	0.289023097877653	-91.5726649544851
"523"	523	4.29569528986947	0.270980604473311	17.9978946590873	27.8516443476602	0.031336901104418	0.396734690768822	0.713885244241557	0.289258970455411	-90.1508885121049
"534"	534	4.33002990105188	0.269957459257678	17.9750057879694	26.0269174957088	0.0330518158234957	0.395585455469884	0.735498462204212	0.291261573815143	-89.0946890012194
"545"	545	4.30246917351633	0.276350129077706	17.9896024707963	27.5362472536766	0.0346240317856353	0.401139944037066	0.768124177134607	0.293679143072418	-90.3887389134887
"556"	556	4.39901393197823	0.257617083867805	17.8633623381484	25.3805608821383	0.0293851267543009	0.428957137120541	0.766219519601738	0.312947382851897	-89.4488065709208
"567"	567	4.47300233823733	0.259290724609294	17.8865331904853	24.3848095307637	0.0268588663473107	0.435829893083697	0.72805317715864	0.312576450998272	-88.6350159492832
"578"	578	4.34768876296096	0.253235156284528	17.8415736701871	25.9261596487768	0.029081598700591	0.415240269696995	0.785926220944837	0.32212634078967	-90.115693163734
"589"	589	4.56123592182581	0.245143269937694	17.7046240445078	25.1327798666635	0.0215304352999262	0.433713595565956	0.758921579431298	0.320596638655359	-92.0206916784422
"600"	600	4.2548954327835	0.249973906292914	17.7605528691559	25.480906802452	0.0284895039995902	0.440885545461198	0.739923524735497	0.341846515553153	-90.7231651605775
"611"	611	5.1938520655413	0.271872231050433	17.6805730012691	24.7421109941288	0.0239307024594467	0.458192326611189	0.616446257003186	0.359901440964495	-91.5965995336257
"622"	622	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"633"	633	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"644"	644	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"655"	655	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"666"	666	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"677"	677	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"688"	688	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"699"	699	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"710"	710	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"721"	721	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"732"	732	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"743"	743	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"754"	754	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"765"	765	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"776"	776	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"787"	787	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"798"	798	5.16332198136325	0.258471167583937	17.9993006334025	29.8412573043465	0.0273126404464601	0.414726150286335	0.637617018391341	0.368655979590994	-90.5247622016669
"809"	809	5.330647293655	0.285197641433186	17.9243896422369	24.5577020396919	0.0438060039954072	0.431273555792946	0.510245050213179	0.372000584906068	-92.0820400506984
"820"	820	4.83386577268146	0.274707994761811	17.997434372121	25.1623913198649	0.0245202410303135	0.494791148902215	0.756743358419175	0.358430033592395	-88.0076131153663
